state,abbreviation,date,cases
District of Columbia,DC,2020-03-17,22
District of Columbia,DC,2020-03-18,31
District of Columbia,DC,2020-03-19,40
District of Columbia,DC,2020-03-20,71
District of Columbia,DC,2020-03-21,77
District of Columbia,DC,2020-03-22,102
Florida,FL,2020-01-22,0
Florida,FL,2020-01-23,0
Florida,FL,2020-01-24,0
Florida,FL,2020-01-25,0
Florida,FL,2020-01-26,0
Florida,FL,2020-01-27,0
Florida,FL,2020-01-28,0
Florida,FL,2020-01-29,0
Florida,FL,2020-01-30,0
Florida,FL,2020-01-31,0
Florida,FL,2020-02-01,0
Florida,FL,2020-02-02,0
Florida,FL,2020-02-03,0
Florida,FL,2020-02-04,0
Florida,FL,2020-02-05,0
Florida,FL,2020-02-06,0
Florida,FL,2020-02-07,0
Florida,FL,2020-02-08,0
Florida,FL,2020-02-09,0
Florida,FL,2020-02-10,0
Florida,FL,2020-02-11,0
Florida,FL,2020-02-12,0
Florida,FL,2020-02-13,0
Florida,FL,2020-02-14,0
Florida,FL,2020-02-15,0
Florida,FL,2020-02-16,0
Florida,FL,2020-02-17,0
Florida,FL,2020-02-18,0
Florida,FL,2020-02-19,0
Florida,FL,2020-02-20,0
Florida,FL,2020-02-21,0
Florida,FL,2020-02-22,0
Florida,FL,2020-02-23,0
Florida,FL,2020-02-24,0
Florida,FL,2020-02-25,0
Florida,FL,2020-02-26,0
Florida,FL,2020-02-27,0
Florida,FL,2020-02-28,0
Florida,FL,2020-02-29,0
Florida,FL,2020-03-01,0
Florida,FL,2020-03-02,0
Florida,FL,2020-03-03,0
Florida,FL,2020-03-04,0
Florida,FL,2020-03-05,0
Florida,FL,2020-03-06,0
Florida,FL,2020-03-07,0
Florida,FL,2020-03-08,0
Florida,FL,2020-03-09,0
Florida,FL,2020-03-10,15
Florida,FL,2020-03-11,28
Florida,FL,2020-03-12,35
Florida,FL,2020-03-13,50
Florida,FL,2020-03-14,76
Florida,FL,2020-03-15,115
Florida,FL,2020-03-16,155
Florida,FL,2020-03-17,216
Florida,FL,2020-03-18,314
Florida,FL,2020-03-19,417
Florida,FL,2020-03-20,563
Florida,FL,2020-03-21,659
Florida,FL,2020-03-22,830
Georgia,GA,2020-01-22,0
Georgia,GA,2020-01-23,0
Georgia,GA,2020-01-24,0
Georgia,GA,2020-01-25,0
Georgia,GA,2020-01-26,0
Georgia,GA,2020-01-27,0
Georgia,GA,2020-01-28,0
Georgia,GA,2020-01-29,0
Georgia,GA,2020-01-30,0
Georgia,GA,2020-01-31,0
Georgia,GA,2020-02-01,0
Georgia,GA,2020-02-02,0
Georgia,GA,2020-02-03,0
Georgia,GA,2020-02-04,0
Georgia,GA,2020-02-05,0
Georgia,GA,2020-02-06,0
Georgia,GA,2020-02-07,0
Georgia,GA,2020-02-08,0
Georgia,GA,2020-02-09,0
Georgia,GA,2020-02-10,0
Georgia,GA,2020-02-11,0
Georgia,GA,2020-02-12,0
Georgia,GA,2020-02-13,0
Georgia,GA,2020-02-14,0
Georgia,GA,2020-02-15,0
Georgia,GA,2020-02-16,0
Georgia,GA,2020-02-17,0
Georgia,GA,2020-02-18,0
Georgia,GA,2020-02-19,0
Georgia,GA,2020-02-20,0
Georgia,GA,2020-02-21,0
Georgia,GA,2020-02-22,0
Georgia,GA,2020-02-23,0
Georgia,GA,2020-02-24,0
Georgia,GA,2020-02-25,0
Georgia,GA,2020-02-26,0
Georgia,GA,2020-02-27,0
Georgia,GA,2020-02-28,0
Georgia,GA,2020-02-29,0
Georgia,GA,2020-03-01,0
Georgia,GA,2020-03-02,0
Georgia,GA,2020-03-03,0
Georgia,GA,2020-03-04,0
Georgia,GA,2020-03-05,0
Georgia,GA,2020-03-06,0
Georgia,GA,2020-03-07,0
Georgia,GA,2020-03-08,0
Georgia,GA,2020-03-09,0
Georgia,GA,2020-03-10,17
Georgia,GA,2020-03-11,23
Georgia,GA,2020-03-12,31
Georgia,GA,2020-03-13,42
Georgia,GA,2020-03-14,66
Georgia,GA,2020-03-15,99
Georgia,GA,2020-03-16,121
Georgia,GA,2020-03-17,146
Georgia,GA,2020-03-18,199
Georgia,GA,2020-03-19,287
Georgia,GA,2020-03-20,420
Georgia,GA,2020-03-21,507
Georgia,GA,2020-03-22,600
Hawaii,HI,2020-01-22,0
Hawaii,HI,2020-01-23,0
Hawaii,HI,2020-01-24,0
Hawaii,HI,2020-01-25,0
Hawaii,HI,2020-01-26,0
Hawaii,HI,2020-01-27,0
Hawaii,HI,2020-01-28,0
Hawaii,HI,2020-01-29,0
Hawaii,HI,2020-01-30,0
Hawaii,HI,2020-01-31,0
Hawaii,HI,2020-02-01,0
Hawaii,HI,2020-02-02,0
Hawaii,HI,2020-02-03,0
Hawaii,HI,2020-02-04,0
Hawaii,HI,2020-02-05,0
Hawaii,HI,2020-02-06,0
Hawaii,HI,2020-02-07,0
Hawaii,HI,2020-02-08,0
Hawaii,HI,2020-02-09,0
Hawaii,HI,2020-02-10,0
Hawaii,HI,2020-02-11,0
Hawaii,HI,2020-02-12,0
Hawaii,HI,2020-02-13,0
Hawaii,HI,2020-02-14,0
Hawaii,HI,2020-02-15,0
Hawaii,HI,2020-02-16,0
Hawaii,HI,2020-02-17,0
Hawaii,HI,2020-02-18,0
Hawaii,HI,2020-02-19,0
Hawaii,HI,2020-02-20,0
Hawaii,HI,2020-02-21,0
Hawaii,HI,2020-02-22,0
Hawaii,HI,2020-02-23,0
Hawaii,HI,2020-02-24,0
Hawaii,HI,2020-02-25,0
Hawaii,HI,2020-02-26,0
Hawaii,HI,2020-02-27,0
Hawaii,HI,2020-02-28,0
Hawaii,HI,2020-02-29,0
Hawaii,HI,2020-03-01,0
Hawaii,HI,2020-03-02,0
Hawaii,HI,2020-03-03,0
Hawaii,HI,2020-03-04,0
Hawaii,HI,2020-03-05,0
Hawaii,HI,2020-03-06,0
Hawaii,HI,2020-03-07,0
Hawaii,HI,2020-03-08,0
Hawaii,HI,2020-03-09,0
Hawaii,HI,2020-03-10,2
Hawaii,HI,2020-03-11,2
Hawaii,HI,2020-03-12,2
Hawaii,HI,2020-03-13,2
Hawaii,HI,2020-03-14,4
Hawaii,HI,2020-03-15,6
Hawaii,HI,2020-03-16,7
Hawaii,HI,2020-03-17,10
Hawaii,HI,2020-03-18,14
Hawaii,HI,2020-03-19,16
Hawaii,HI,2020-03-20,26
Hawaii,HI,2020-03-21,37
Hawaii,HI,2020-03-22,48
Idaho,ID,2020-01-22,0
Idaho,ID,2020-01-23,0
Idaho,ID,2020-01-24,0
Idaho,ID,2020-01-25,0
Idaho,ID,2020-01-26,0
Idaho,ID,2020-01-27,0
Idaho,ID,2020-01-28,0
Idaho,ID,2020-01-29,0
Idaho,ID,2020-01-30,0
Idaho,ID,2020-01-31,0
Idaho,ID,2020-02-01,0
Idaho,ID,2020-02-02,0
Idaho,ID,2020-02-03,0
Idaho,ID,2020-02-04,0
Idaho,ID,2020-02-05,0
Idaho,ID,2020-02-06,0
Idaho,ID,2020-02-07,0
Idaho,ID,2020-02-08,0
Idaho,ID,2020-02-09,0
Idaho,ID,2020-02-10,0
Idaho,ID,2020-02-11,0
Idaho,ID,2020-02-12,0
Idaho,ID,2020-02-13,0
Idaho,ID,2020-02-14,0
Idaho,ID,2020-02-15,0
Idaho,ID,2020-02-16,0
Idaho,ID,2020-02-17,0
Idaho,ID,2020-02-18,0
Idaho,ID,2020-02-19,0
Idaho,ID,2020-02-20,0
Idaho,ID,2020-02-21,0
Idaho,ID,2020-02-22,0
Idaho,ID,2020-02-23,0
Idaho,ID,2020-02-24,0
Idaho,ID,2020-02-25,0
Idaho,ID,2020-02-26,0
Idaho,ID,2020-02-27,0
Idaho,ID,2020-02-28,0
Idaho,ID,2020-02-29,0
Idaho,ID,2020-03-01,0
Idaho,ID,2020-03-02,0
Idaho,ID,2020-03-03,0
Idaho,ID,2020-03-04,0
Idaho,ID,2020-03-05,0
Idaho,ID,2020-03-06,0
Idaho,ID,2020-03-07,0
Idaho,ID,2020-03-08,0
Idaho,ID,2020-03-09,0
Idaho,ID,2020-03-10,0
Idaho,ID,2020-03-11,0
Idaho,ID,2020-03-12,0
Idaho,ID,2020-03-13,1
Idaho,ID,2020-03-14,2
Idaho,ID,2020-03-15,5
Idaho,ID,2020-03-16,5
Idaho,ID,2020-03-17,8
Idaho,ID,2020-03-18,9
Idaho,ID,2020-03-19,11
Idaho,ID,2020-03-20,23
Idaho,ID,2020-03-21,36
Idaho,ID,2020-03-22,42
Illinois,IL,2020-01-22,0
Illinois,IL,2020-01-23,0
Illinois,IL,2020-01-24,0
Illinois,IL,2020-01-25,0
Illinois,IL,2020-01-26,0
Illinois,IL,2020-01-27,0
Illinois,IL,2020-01-28,0
Illinois,IL,2020-01-29,0
Illinois,IL,2020-01-30,0
Illinois,IL,2020-01-31,0
Illinois,IL,2020-02-01,0
Illinois,IL,2020-02-02,0
Illinois,IL,2020-02-03,0
Illinois,IL,2020-02-04,0
Illinois,IL,2020-02-05,0
Illinois,IL,2020-02-06,0
Illinois,IL,2020-02-07,0
Illinois,IL,2020-02-08,0
Illinois,IL,2020-02-09,0
Illinois,IL,2020-02-10,0
Illinois,IL,2020-02-11,0
Illinois,IL,2020-02-12,0
Illinois,IL,2020-02-13,0
Illinois,IL,2020-02-14,0
Illinois,IL,2020-02-15,0
Illinois,IL,2020-02-16,0
Illinois,IL,2020-02-17,0
Illinois,IL,2020-02-18,0
Illinois,IL,2020-02-19,0
Illinois,IL,2020-02-20,0
Illinois,IL,2020-02-21,0
Illinois,IL,2020-02-22,0
Illinois,IL,2020-02-23,0
Illinois,IL,2020-02-24,0
Illinois,IL,2020-02-25,0
Illinois,IL,2020-02-26,0
Illinois,IL,2020-02-27,0
Illinois,IL,2020-02-28,0
Illinois,IL,2020-02-29,0
Illinois,IL,2020-03-01,0
Illinois,IL,2020-03-02,0
Illinois,IL,2020-03-03,0
Illinois,IL,2020-03-04,0
Illinois,IL,2020-03-05,0
Illinois,IL,2020-03-06,0
Illinois,IL,2020-03-07,0
Illinois,IL,2020-03-08,0
Illinois,IL,2020-03-09,0
Illinois,IL,2020-03-10,12
Illinois,IL,2020-03-11,25
Illinois,IL,2020-03-12,32
Illinois,IL,2020-03-13,46
Illinois,IL,2020-03-14,64
Illinois,IL,2020-03-15,93
Illinois,IL,2020-03-16,105
Illinois,IL,2020-03-17,161
Illinois,IL,2020-03-18,162
Illinois,IL,2020-03-19,422
Illinois,IL,2020-03-20,585
Illinois,IL,2020-03-21,753
Illinois,IL,2020-03-22,1049
Indiana,IN,2020-01-22,0
Indiana,IN,2020-01-23,0
Indiana,IN,2020-01-24,0
Indiana,IN,2020-01-25,0
Indiana,IN,2020-01-26,0
Indiana,IN,2020-01-27,0
Indiana,IN,2020-01-28,0
Indiana,IN,2020-01-29,0
Indiana,IN,2020-01-30,0
Indiana,IN,2020-01-31,0
Indiana,IN,2020-02-01,0
Indiana,IN,2020-02-02,0
Indiana,IN,2020-02-03,0
Indiana,IN,2020-02-04,0
Indiana,IN,2020-02-05,0
Indiana,IN,2020-02-06,0
Indiana,IN,2020-02-07,0
Indiana,IN,2020-02-08,0
Indiana,IN,2020-02-09,0
Indiana,IN,2020-02-10,0
Indiana,IN,2020-02-11,0
Indiana,IN,2020-02-12,0
Indiana,IN,2020-02-13,0
Indiana,IN,2020-02-14,0
Indiana,IN,2020-02-15,0
Indiana,IN,2020-02-16,0
Indiana,IN,2020-02-17,0
Indiana,IN,2020-02-18,0
Indiana,IN,2020-02-19,0
Indiana,IN,2020-02-20,0
Indiana,IN,2020-02-21,0
Indiana,IN,2020-02-22,0
Indiana,IN,2020-02-23,0
Indiana,IN,2020-02-24,0
Indiana,IN,2020-02-25,0
Indiana,IN,2020-02-26,0
Indiana,IN,2020-02-27,0
Indiana,IN,2020-02-28,0
Indiana,IN,2020-02-29,0
Indiana,IN,2020-03-01,0
Indiana,IN,2020-03-02,0
Indiana,IN,2020-03-03,0
Indiana,IN,2020-03-04,0
Indiana,IN,2020-03-05,0
Indiana,IN,2020-03-06,0
Indiana,IN,2020-03-07,0
Indiana,IN,2020-03-08,0
Indiana,IN,2020-03-09,0
Indiana,IN,2020-03-10,6
Indiana,IN,2020-03-11,11
Indiana,IN,2020-03-12,13
Indiana,IN,2020-03-13,13
Indiana,IN,2020-03-14,16
Indiana,IN,2020-03-15,20
Indiana,IN,2020-03-16,25
Indiana,IN,2020-03-17,30
Indiana,IN,2020-03-18,39
Indiana,IN,2020-03-19,60
Indiana,IN,2020-03-20,86
Indiana,IN,2020-03-21,128
Indiana,IN,2020-03-22,201
Iowa,IA,2020-01-22,0
Iowa,IA,2020-01-23,0
Iowa,IA,2020-01-24,0
Iowa,IA,2020-01-25,0
Iowa,IA,2020-01-26,0
Iowa,IA,2020-01-27,0
Iowa,IA,2020-01-28,0
Iowa,IA,2020-01-29,0
Iowa,IA,2020-01-30,0
Iowa,IA,2020-01-31,0
Iowa,IA,2020-02-01,0
Iowa,IA,2020-02-02,0
Iowa,IA,2020-02-03,0
Iowa,IA,2020-02-04,0
Iowa,IA,2020-02-05,0
Iowa,IA,2020-02-06,0
Iowa,IA,2020-02-07,0
Iowa,IA,2020-02-08,0
Iowa,IA,2020-02-09,0
Iowa,IA,2020-02-10,0
Iowa,IA,2020-02-11,0
Iowa,IA,2020-02-12,0
Iowa,IA,2020-02-13,0
Iowa,IA,2020-02-14,0
Iowa,IA,2020-02-15,0
Iowa,IA,2020-02-16,0
Iowa,IA,2020-02-17,0
Iowa,IA,2020-02-18,0
Iowa,IA,2020-02-19,0
Iowa,IA,2020-02-20,0
Iowa,IA,2020-02-21,0
Iowa,IA,2020-02-22,0
Iowa,IA,2020-02-23,0
Iowa,IA,2020-02-24,0
Iowa,IA,2020-02-25,0
Iowa,IA,2020-02-26,0
Iowa,IA,2020-02-27,0
Iowa,IA,2020-02-28,0
Iowa,IA,2020-02-29,0
Iowa,IA,2020-03-01,0
Iowa,IA,2020-03-02,0
Iowa,IA,2020-03-03,0
Iowa,IA,2020-03-04,0
Iowa,IA,2020-03-05,0
Iowa,IA,2020-03-06,0
Iowa,IA,2020-03-07,0
Iowa,IA,2020-03-08,0
Iowa,IA,2020-03-09,0
Iowa,IA,2020-03-10,8
Iowa,IA,2020-03-11,13
Iowa,IA,2020-03-12,16
Iowa,IA,2020-03-13,17
Iowa,IA,2020-03-14,17
Iowa,IA,2020-03-15,18
Iowa,IA,2020-03-16,23
Iowa,IA,2020-03-17,23
Iowa,IA,2020-03-18,29
Iowa,IA,2020-03-19,44
Iowa,IA,2020-03-20,45
Iowa,IA,2020-03-21,68
Iowa,IA,2020-03-22,90
Kansas,KS,2020-01-22,0
Kansas,KS,2020-01-23,0
Kansas,KS,2020-01-24,0
Kansas,KS,2020-01-25,0
Kansas,KS,2020-01-26,0
Kansas,KS,2020-01-27,0
Kansas,KS,2020-01-28,0
Kansas,KS,2020-01-29,0
Kansas,KS,2020-01-30,0
Kansas,KS,2020-01-31,0
Kansas,KS,2020-02-01,0
Kansas,KS,2020-02-02,0
Kansas,KS,2020-02-03,0
Kansas,KS,2020-02-04,0
Kansas,KS,2020-02-05,0
Kansas,KS,2020-02-06,0
Kansas,KS,2020-02-07,0
Kansas,KS,2020-02-08,0
Kansas,KS,2020-02-09,0
Kansas,KS,2020-02-10,0
Kansas,KS,2020-02-11,0
Kansas,KS,2020-02-12,0
Kansas,KS,2020-02-13,0
Kansas,KS,2020-02-14,0
Kansas,KS,2020-02-15,0
Kansas,KS,2020-02-16,0
Kansas,KS,2020-02-17,0
Kansas,KS,2020-02-18,0
Kansas,KS,2020-02-19,0
Kansas,KS,2020-02-20,0
Kansas,KS,2020-02-21,0
Kansas,KS,2020-02-22,0
Kansas,KS,2020-02-23,0
Kansas,KS,2020-02-24,0
Kansas,KS,2020-02-25,0
Kansas,KS,2020-02-26,0
Kansas,KS,2020-02-27,0
Kansas,KS,2020-02-28,0
Kansas,KS,2020-02-29,0
Kansas,KS,2020-03-01,0
Kansas,KS,2020-03-02,0
Kansas,KS,2020-03-03,0
Kansas,KS,2020-03-04,0
Kansas,KS,2020-03-05,0
Kansas,KS,2020-03-06,0
Kansas,KS,2020-03-07,0
Kansas,KS,2020-03-08,0
Kansas,KS,2020-03-09,0
Kansas,KS,2020-03-10,1
Kansas,KS,2020-03-11,1
Kansas,KS,2020-03-12,1
Kansas,KS,2020-03-13,5
Kansas,KS,2020-03-14,8
Kansas,KS,2020-03-15,8
Kansas,KS,2020-03-16,11
